,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
148,北京宽利,BJKL,乙,1,Beijing Kuanli,14,18,7,4,19,93.333,29,北京宽利,11,1997
149,大连毅腾连铁,DLYT,乙,4,Dalian Yiteng,18,27,4,9,17,83.214,30,鞍山毅腾连铁,9,1997
150,中国火车头,HCTFC,甲,5,Locomotive FC,53,18,16,-35,24,80,31,火车头杉杉,3,1997
151,厦门FC,XMFC,乙,5,Xiamen FC,9,22,2,13,13,74.706,32,厦门银城,6,1997
152,广西银荔,GXYL,乙,5,Guangxi yinli,11,32,3,21,15,73.631,33,广西银荔,7,1997
153,重庆嘉陵工业,CQJL,乙,4,Chongqing Jialing,12,22,3,10,13,72.941,34,重庆嘉陵,6,1997
154,北京电车,BJDC,乙,2,Beijing Dianche,21,27,5,6,15,72.381,35,北京电车,8,1997
155,上海宝钢,SHBS,乙,1,Shanghai Baosteel,10,19,5,9,13,71.471,36,上海宝钢,7,1997
156,北京运四,BJY4,乙,1,Beijing Yun4,13,19,6,6,14,57.619,37,北京运四,7,1997
157,南京多得,NJDD,乙,3,Nanjing Duode,7,12,3,5,10,48.529,38,南京多得,4,1997
158,内蒙包钢,NMBTS,乙,0,Neimeng Baotou Steel,25,15,9,-10,14,39.286,39,包钢带钢,5,1997
159,云南天元,YNTY,乙,0,Yunnan Tianyuan,24,12,7,-12,10,29.118,40,云南天元,3,1997
160,青岛奔达,QDBD,乙,1,Qingdao Benda,19,18,6,-1,10,26.19,41,青岛奔达,3,1997
161,湖南莱孚,HNLF,乙,1,Hunan Laifu,18,11,6,-7,10,26.19,42,湖南莱孚,3,1997
162,绵阳FC,MYFC,乙,2,Mianyang FC,18,9,6,-9,10,25.882,43,绵阳樊华,2,1997
163,大连顺发,DLSF,乙,0,Dalian Shunfa,26,13,11,-13,14,23.571,44,大连顺发,3,1997
164,山西中联,SXZL,乙,3,Shanxi Zhonglian,29,10,9,-19,14,23.571,45,山西中联,2,1997
165,安徽乐普生,AHLPS,乙,1,Anhui Lopson,14,7,7,-7,10,22.647,46,安徽乐普生,2,1997
166,浙江杭康,ZJHC,乙,0,Zhejiang Hacon,35,2,9,-33,10,9.7059,47,浙江杭康医药,1,1997
167,西安金花前卫,XAGA,乙,1,Xi'an Jinhua Qianwei,19,5,9,-14,10,3.2353,48,西安金花前卫,0,1997
168,开封宏昌,KFHC,乙,0,Kaifeng Hongchang,51,4,10,-47,10,0,49,开封宏昌,0,1997
169,哈尔滨兰格,HRBLG,乙,2,Harbin Lange,19,17,6,-2,14,0,50,黑龙江兰格,6,1997
170,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,1998
171,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,1998
172,大连万达,DLWD,亚,11,Dalian Wanda,28,103,4,75,44,1113.8,1,大连万达,29,1998
173,上海申花,SHSH,超,13,Shanghai Shenhua,30,59,3,29,34,660,2,上海申花,18,1998
174,北京国安,BJGA,亚,15,Beijing Guoan,33,47,8,14,37,642.5,3,北京国安,14,1998
175,山东鲁能泰山,SDLT,超,10,Shandong Luneng Taishan,47,49,11,2,32,432.5,4,山东鲁能泰山,11,1998
176,辽宁FC,LNFC,甲,8,Liaoning FC,31,67,7,36,32,418.52,5,辽宁天润,17,1998
177,四川全兴,SCQX,超,10,Sichuan Quanxin,43,40,11,-3,31,407.5,6,四川全兴郎酒,10,1998
178,重庆前卫寰岛,CQQH,超,8,Qianwei Qianwei Huandao,33,35,12,2,30,387.5,7,重庆隆鑫,10,1998
179,湖北武汉雅琪职业,WHYQ,超,8,Wuhan Yaqi,41,31,12,-10,30,380,8,武汉红金龙,10,1998
180,松日电器广州,GZMSC,超,7,Guangzhou Matsunichi,39,23,11,-16,28,375,9,广州松日,10,1998
181,青岛颐中海牛,QDET,超,8,Qingdao Etsong Hainiu,36,30,13,-6,30,357.5,10,青岛颐中海牛,9,1998
182,中国人民解放军八一,PLABY,超,5,PLA Bayi,45,36,15,-9,30,357.5,11,八一,10,1998
183,沈阳华晨金客,SYBJK,超,12,Shenyang Brilliance Jinke,36,22,11,-14,30,340,12,沈阳海狮,7,1998
184,深圳FC,SZPA,超,9,Shenzhen FC,47,32,11,-15,28,330,13,深圳平安,8,1998
185,延边FC,YBFC,超,4,Yanbian FC,33,25,15,-8,28,317.5,14,吉林敖东,9,1998
