,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
107,22,China,中国,回归,50万,776.0,科维良,49.0,山东鲁能,1284,右边锋,王刚,,-,2011-12-31,,,11
108,22,Colombia,哥伦比亚,回归,15万,50.0,上海绿地申花,,Deportivo Pasto,10280,右中场,艾斯纳·罗博,,-,2011-12-31,,,11
109,20,China,中国,回归,,,Suduva,50.0,上海绿地申花,1326,左边锋,顾斌,,-,2011-12-31,,,11
110,29,China,中国,回归,,51.0,广州富力,44.0,长春亚泰,1122,中锋,曹添堡,,-,2011-12-31,,,11
111,22,China,中国,回归,,1250.0,深圳FC,50.0,上海绿地申花,1043,中锋,董学升,,-,2011-12-31,,,11
112,25,China,中国,回归,,54.0,上海申鑫,42.0,北京国安,1047,中后卫,郎征,,-,2011-12-31,,,11
113,28,China,中国,回归,,1451.0,成都天诚,215.0,重庆力帆,6722,左后卫,胡伟,,-,2011-12-31,,,11
114,25,China,中国,回归,,55.0,杭州绿城,43.0,北京人和,6731,左边锋,毛剑卿,,-,2011-12-31,,,11
115,25,China,中国,回归,,1391.0,大连实德,42.0,北京国安,1510,右边锋,阎相闯,,-,2011-12-31,,,11
116,22,China,中国,回归,,52.0,大连一方,43.0,北京人和,9026,右后卫,刘天祺,,-,2011-12-31,,,11
117,30,China,中国,回归,,55.0,杭州绿城,49.0,山东鲁能,20307,中后卫,矫喆,,-,2011-12-31,,,11
118,19,China,中国,,,49.0,山东鲁能,52.0,大连一方,1381,门将,刘伟国,,-,2011-12-01,,,11
119,21,Brazil,巴西,回归,,44.0,长春亚泰,199.0,弗鲁米嫩塞,1513,中锋,多利,,-,2011-12-01,,,11
120,24,China,中国,,75万,58.0,沙尔克04,49.0,山东鲁能,1282,中场,蒿俊闵,35万,47,2011-07-08,110万,1100000.0,11
121,28,Argentina,阿根廷,,600万,199.0,弗鲁米嫩塞,41.0,广州恒大,5769,前腰,孔卡,220万,37,2011-07-01,820万,8200000.0,11
122,31,England,英格兰,,200万,613.0,布莱克浦,51.0,广州富力,36194,中锋,Marlon Harewood,-200万,-100,2011-07-01,0,0.0,11
123,26,Serbia,塞尔维亚,,125万,731.0,贝尔格莱德红星,53.0,江苏苏宁,1231,中锋,耶夫蒂奇,-80万,-64,2011-07-01,45万,450000.0,11
124,28,Zambia,赞比亚,,100万,1031.0,克桑西,48.0,河南建业,12996,中锋,卡通戈,-75万,-75,2011-07-01,25万,250000.0,11
125,26,Brazil,巴西,出租,50万,41.0,广州恒大,232.0,庞特普雷塔,9237,前腰,雷纳多,,-,2011-07-01,45万,450000.0,11
126,22,China,中国,出租,50万,49.0,山东鲁能,776.0,科维良,1284,右边锋,王刚,,-,2011-07-01,,,11
127,25,Argentina,阿根廷,,40万,804.0,阿德莱德,48.0,河南建业,11822,前腰,弗洛雷斯,-40万,-100,2011-07-01,,,11
128,22,Colombia,哥伦比亚,,30万,,CD América,50.0,上海绿地申花,3752,右后卫,胡安·安古洛,-30万,-100,2011-07-01,,,11
129,21,Senegal,塞内加尔,,20万,131.0,塞图巴尔,42.0,北京国安,3697,中后卫,弗朗索瓦,-20万,-100,2011-07-01,0,0.0,11
